FID,Shape,ORGANIZATI,UNIT,SUBUNIT,SUBUNIT2,FIREID,FIRENAME,FIRENUMBER,FIRECODE,CAUSE,SPECCAUSE,STATCAUSE,SIZECLASS,SIZECLASSN,FIRETYPE,STARTDATED,STATE,STATE_FIPS,FIPS,lat,lon,acres
29845,Point,FWS,61580,USMTBWR,Bowdoin National Wildlife Refuge,89678,Beaver Creek,2016USMTBWRJ730,J730,Human,0,0,B,2,1,4/13/16,Montana,30,30,48.403,-107.558,7
30802,Point,FWS,41590,USGAOKR,Okefenokee National Wildlife Refuge,89364,Cowhouse 2016,2016USGAOKRJ6PN,J6PN,Natural,0,0,B,2,1,3/8/16,Georgia,13,13,31.060117,-82.256703,7
30824,Point,FWS,32585,USMNFFR,Fergus Falls Wetland Management District,90150,Bengston WF,2016USMNFFRJ9DF,J9DF,Human,0,0,B,2,1,5/20/16,Minnesota,27,27,45.801999,-95.664769,7
31807,Point,FS,2,210,Arapaho and Roosevelt National Forests,6770484,North Rim,56,KUX0,Human,25,9,B,2,1,12/25/16,Colorado,8,8,40.716111,-105.5025,7
33506,Point,FS,1,118,Dakota Prairie Grasslands,6747846,6ES,11,EKT6,Natural,1,1,B,2,1,7/20/16,South Dakota,46,46,45.605556,-102.505556,7
33585,Point,FS,8,801,National Forests in Alabama,6746708,RailRoad #2,24,KBS7,Human,30,2,B,2,1,6/19/16,Alabama,1,1,33.364167,-86.016389,7
34421,Point,FS,3,306,Gila National Forest,6733041,Tillie,16,J9P2,Human,8,4,B,2,1,5/30/16,New Mexico,35,35,33.005833,-109,7
34835,Point,FS,4,417,Humboldt-Toiyabe National Forest,6713480,Hoge,3,KDP0,Human,30,7,B,2,1,7/3/16,Nevada,32,32,39.574167,-119.854722,7
34852,Point,FS,3,308,Lincoln National Forest,6711486,Game Tank,20,EKV7,Natural,1,1,B,2,1,6/13/16,New Mexico,35,35,32.077778,-104.719167,7
35320,Point,FS,8,808,George Washington and Jefferson National Forest,6707789,2 West,10,J8AM,Human,30,7,B,2,1,4/18/16,West Virginia,54,54,38.600278,-79.183333,7
364516,Point,BIA,GPR,NDSRA,Standing Rock Agency,695223,Eagle Prairie,114,KEP6,Human,26,0,B,2,1,7/6/16,South Dakota,46,46,45.5875,-100.8119,7
373348,Point,BIA,GPR,SDCCA,Crow Creek Agency,698247,Oaks,34,KQ8D,Human,27,0,B,2,1,9/23/16,South Dakota,46,46,43.9631,-99.2239,7
388506,Point,BIA,GPR,SDPRA,Pine Ridge Agency,694432,TROUT POND,175,KH4J,Human,27,0,B,2,1,7/25/16,South Dakota,46,46,43.2331,-102.4783,7
400906,Point,BIA,MWR,MNMNA,Minnesota Agency,695997,ONION LAKE,89,J9FT,Human,19,0,B,2,1,5/1/16,Minnesota,27,27,47.09811,-95.82103,7
411448,Point,BIA,MWR,MNRLA,Red Lake Agency,700606,RL 265,265,J8FQ,Human,27,0,B,2,1,4/24/16,Minnesota,27,27,48.02,-95.2878,7
411615,Point,BIA,MWR,MNRLA,Red Lake Agency,700667,RL 438,438,KTG2,Human,27,0,B,2,1,11/10/16,Minnesota,27,27,47.873,-94.9872,7
411622,Point,BIA,MWR,MNRLA,Red Lake Agency,700675,RL 445,445,KTZ8,Human,27,0,B,2,1,11/13/16,Minnesota,27,27,47.8858,-94.7792,7
421054,Point,BIA,NAR,AZNAA,Navajo Regional Office,700674,Ojo #2,203,KS5E,Human,30,0,B,2,1,10/31/16,New Mexico,35,35,36.6683,-108.3598,7
447170,Point,BIA,NWR,WAYAA,Yakama Agency,697424,N. Camas 952,80,KD40,Human,26,0,B,2,1,7/4/16,Washington,53,53,46.45666,-120.41582,7
471292,Point,BIA,RMR,MTCRA,Crow Agency,700730,CHASE,122,KL69,Human,32,0,B,2,1,8/14/16,Montana,30,30,45.5839,-107.5789,7
487230,Point,BIA,RMR,WYWRA,Wind River Agency,701791,502 Plunket Rd,6,J6VD,Human,10,0,B,2,1,3/12/16,Wyoming,56,56,42.9667,-108.7156,7
496048,Point,BIA,SWR,COUMA,Ute Mountain Ute Agency,698056,Porcupine,1406,KQ2E,Natural,1,0,B,2,1,9/19/16,Colorado,8,8,37.13255,-108.4142,7
513802,Point,BIA,SWR,NMZUA,Zuni Agency,690010,Nutria Fire,18,J7CC,Human,30,0,B,2,1,3/28/16,New Mexico,35,35,35.2075,-108.6614,7
526388,Point,BIA,WER,AZFTA,Fort Apache Agency,689885,R-31,18,J5SD,Human,30,0,B,2,1,1/28/16,Arizona,4,4,34.0703,-110.4783,7
552802,Point,BIA,WER,AZSCA,San Carlos Agency,697026,WATERTANK,466,J89F,Human,32,0,B,2,1,5/19/16,Arizona,4,4,33.34311,-110.45775,7
349904,Point,BIA,EOR,OKWEA,Wewoka Agency,700344,Mary,48,KS3W,Human,30,0,B,2,1,10/31/16,Oklahoma,40,40,35.0144,-96.4967,7.1
503620,Point,BIA,SWR,NMMEA,Mescalero Agency,697099,Bull Well,233,J86B,Natural,30,0,B,2,1,5/16/16,New Mexico,35,35,33.20675,-105.56469,7.1
841523,Point,NPS,SERO,MSNAP,Natchez Trace Parkway,700179,Shrimp,1659,KS03,Human,30,0,B,2,1,10/28/16,Mississippi,28,28,34.3317,-88.7314,7.1
609160,Point,BLM,CA,CACND,Central California,691027,65,1165,J75Y,Human,30,0,B,2,1,4/15/16,California,6,6,35.4956,-119.7333,7.2
33536,Point,FS,9,903,Chippewa National Forest,6707671,Agency Bay,15,J746,Human,30,9,B,2,1,4/15/16,Minnesota,27,27,47.081944,-94.5025,7.2
33688,Point,FS,3,301,Apache-Sitgreaves National Forests,6739910,Chimney,52,EKVO,Natural,1,1,B,2,1,6/20/16,Arizona,4,4,33.157778,-109.107222,7.2
481842,Point,BIA,RMR,MTNCA,Northern Cheyenne Agency,694834,Thirty four,41,KH90,Human,30,0,B,2,1,7/27/16,Montana,30,30,45.6006,-106.8131,7.2
817630,Point,NPS,PWRO,CAMNP,Mojave National Preserve,695024,Hart 2,19,KJB1,Natural,1,0,B,2,1,7/27/16,California,6,6,35.29067,-115.13503,7.2
664883,Point,BLM,MT,MTMCD,Miles City Field Office,694602,Phillips,236,KH4T,Natural,0,0,B,2,1,7/26/16,Montana,30,30,45.26905,-105.9537,7.3
26863,Point,FWS,13560,USWATBR,Turnbull National Wildlife Refuge,91049,Grogan,2016USWATBRKM35,KM35,Human,0,0,B,2,1,8/20/16,Washington,53,53,47.355719,-117.539681,7.3
343715,Point,BIA,EOR,OKOMA,Okmulgee Field Office,690949,Hollywood,61,J68U,Human,30,0,B,2,1,3/24/16,Oklahoma,40,40,35.801,-95.92958,7.3
